period,State,Sales,Price
10/1/2021,MI,7822571.9,12.96
10/1/2021,MN,5139379.7,11.35
10/1/2021,MO,5802297.1,9.28
10/1/2021,MS,3959246.9,9.65
10/1/2021,MT,1090243.7,9.72
10/1/2021,NC,10309383,9.63
10/1/2021,ND,1784940.4,8.46
10/1/2021,NE,2417647.4,8.64
10/1/2021,NH,819756.89,17.64
10/1/2021,NJ,5339353,13.76
10/1/2021,NM,2107924.3,9.59
10/1/2021,NV,2912259.7,8.49
10/1/2021,NY,10966427,16.96
10/1/2021,OH,11695266,10.04
10/1/2021,OK,5034222.9,9.41
10/1/2021,OR,3949831,9.24
10/1/2021,PA,10948116,10.13
10/1/2021,RI,570411.49,18.37
10/1/2021,SC,6541906.5,10.3
10/1/2021,SD,988383.51,10.29
10/1/2021,TN,7676127.1,9.88
10/1/2021,TX,36334968,9.02
10/1/2021,UT,2499211,8.33
10/1/2021,VA,9542368,9.46
10/1/2021,VT,416989.62,17
10/1/2021,WA,6713379,8.97
10/1/2021,WI,5528066.6,11.04
10/1/2021,WV,2523368.6,9.13
10/1/2021,WY,1268221.2,8.19
9/1/2021,AK,458087.31,20.32
9/1/2021,AL,7544612.1,10.75
9/1/2021,AR,4599830.7,9.49
9/1/2021,AZ,8026648.8,11.18
9/1/2021,CA,23517005,21.57
9/1/2021,CO,4968626.6,11.5
9/1/2021,CT,2348547,19.62
9/1/2021,DC,821840.71,12.75
9/1/2021,DE,985801.04,11.12
9/1/2021,FL,23096580,11.13
9/1/2021,GA,12097314,10.96
9/1/2021,HI,760220.56,31.29
9/1/2021,IA,4296529,10.4
9/1/2021,ID,1913356.8,8.13
9/1/2021,IL,11536311,10.22
9/1/2021,IN,8469674.5,10.63
9/1/2021,KS,3849678,10.46
9/1/2021,KY,6334240.9,9.36
9/1/2021,LA,7949324.6,9.41
9/1/2021,MA,4602507.2,19.92
9/1/2021,MD,4826622.5,11.54
9/1/2021,ME,1027932.4,14.54
9/1/2021,MI,8068708.8,12.8
9/1/2021,MN,5216690.8,11.68
9/1/2021,MO,6802702.3,11.24
9/1/2021,MS,4517265.5,9.81
9/1/2021,MT,1116062,9.91
9/1/2021,NC,11936603,9.87
9/1/2021,ND,1729076.2,8.94
9/1/2021,NE,2691047.3,9.27
9/1/2021,NH,901677.53,17.78
9/1/2021,NJ,6044081.5,14.18
9/1/2021,NM,2342735.3,10.51
9/1/2021,NV,3751799.7,9.27
9/1/2021,NY,12944002,18.06
9/1/2021,OH,12285434,10.04
9/1/2021,OK,6050315.1,9.5
9/1/2021,OR,3946918.9,9.1
9/1/2021,PA,11986906,10.14
9/1/2021,RI,624956.71,18.77
9/1/2021,SC,6991529.1,10.65
9/1/2021,SD,1053575.4,10.75
9/1/2021,TN,9155826.7,10.09
9/1/2021,TX,42491935,9.22
9/1/2021,UT,2781881.2,8.89
9/1/2021,VA,10289389,9.57
9/1/2021,VT,429512.19,16.53
9/1/2021,WA,6460519.5,8.82
9/1/2021,WI,5618332.5,11.33
9/1/2021,WV,2499881.9,9.06
9/1/2021,WY,1242118,8.28
8/1/2021,AK,458125.67,20.16
8/1/2021,AL,8523896.2,10.96
8/1/2021,AR,4953237.6,9.47
8/1/2021,AZ,9100584.6,11.22
8/1/2021,CA,25923703,21.35
8/1/2021,CO,5664496.9,11.64
8/1/2021,CT,2962637,17.36
8/1/2021,DC,1038740.3,13.31
8/1/2021,DE,1168185.4,10.43
8/1/2021,FL,24564900,10.72
8/1/2021,GA,14020429,11.42
8/1/2021,HI,817600.1,30.21
8/1/2021,IA,4945474.6,10.95
8/1/2021,ID,2399536.3,8.57
8/1/2021,IL,13987283,10.29
8/1/2021,IN,9863479.4,10.57
8/1/2021,KS,4315456.9,10.84
8/1/2021,KY,7312158.3,9.34
8/1/2021,LA,9153458.1,9.28
8/1/2021,MA,5013543.6,19.43
8/1/2021,MD,6003950.4,11.35
8/1/2021,ME,1008884.2,14.02
8/1/2021,MI,10099376,13.51
8/1/2021,MN,6173686.3,11.69
8/1/2021,MO,7985916,11.54
8/1/2021,MS,4853227,9.81
8/1/2021,MT,1312816.2,9.96
8/1/2021,NC,13925023,9.64
8/1/2021,ND,1903731.2,8.77
8/1/2021,NE,3234099.7,9.19
8/1/2021,NH,1068328.5,17.07
8/1/2021,NJ,7969762,14.8
8/1/2021,NM,2512097,10.74
8/1/2021,NV,4434774.3,9.3
8/1/2021,NY,13950118,17.88
8/1/2021,OH,14603250,10.07
8/1/2021,OK,6782774.9,9.25
8/1/2021,OR,4541554,9.13
8/1/2021,PA,13748787,10.22
8/1/2021,RI,788434.86,17.61
8/1/2021,SC,8143153.1,10.54
8/1/2021,SD,1213192.4,10.76
8/1/2021,TN,9960218.7,10.09
8/1/2021,TX,44066106,9.16
8/1/2021,UT,3171619,8.85
8/1/2021,VA,12037247,9.72
8/1/2021,VT,506270.58,16.21
8/1/2021,WA,7182499.2,8.75
8/1/2021,WI,6756089.4,11.32
8/1/2021,WV,2910440.8,8.83
8/1/2021,WY,1331423.2,7.99
7/1/2021,AK,452245.5,20.24
7/1/2021,AL,8219090,10.87
7/1/2021,AR,4732072.4,9.35
7/1/2021,AZ,9217880.2,11.48
7/1/2021,CA,26008727,20.93
7/1/2021,CO,5682165.9,11.61
7/1/2021,CT,2511409.1,19.43
7/1/2021,DC,1048435,12.65
7/1/2021,DE,1180676.1,10.23
7/1/2021,FL,23805916,10.64
7/1/2021,GA,13674493,11.4
7/1/2021,HI,803462.75,30.23
